impact_category,powertrain,year,vehicle_stage,size,value,impact_value,unit
marine ecotoxicity,BEV,2024,EoL,Small,0,684.4942129697033,"kg 1,4-DB."
marine ecotoxicity,BEV,2024,road,Small,0,0.00045214511793033915,"kg 1,4-DB."
marine ecotoxicity,BEV,2024,direct - non-exhaust,Small,0,0.00019927872676691626,"kg 1,4-DB."
marine ecotoxicity,BEV,2024,direct - exhaust,Small,0,0.0,"kg 1,4-DB."
marine ecotoxicity,ICEV-p,2024,glider,Small,0,1486.139033109986,"kg 1,4-DB."
marine ecotoxicity,ICEV-p,2024,powertrain,Small,0,495.18473664189565,"kg 1,4-DB."
marine ecotoxicity,ICEV-p,2024,energy storage,Small,0,8.639516293361465,"kg 1,4-DB."
marine ecotoxicity,ICEV-p,2024,energy chain,Small,0,0.00017946358345763416,"kg 1,4-DB."
marine ecotoxicity,ICEV-p,2024,maintenance,Small,0,0.0006465030665715725,"kg 1,4-DB."
marine ecotoxicity,ICEV-p,2024,EoL,Small,0,682.4592362841602,"kg 1,4-DB."
marine ecotoxicity,ICEV-p,2024,road,Small,0,0.0004166435547776465,"kg 1,4-DB."
marine ecotoxicity,ICEV-p,2024,direct - non-exhaust,Small,0,0.00024516523608469405,"kg 1,4-DB."
marine ecotoxicity,ICEV-p,2024,direct - exhaust,Small,0,1.2178648501755322e-05,"kg 1,4-DB."
terrestrial ecotoxicity,BEV,2024,glider,Small,0,2.3727996441965624,"kg 1,4-DC."
terrestrial ecotoxicity,BEV,2024,powertrain,Small,0,0.7145750155453644,"kg 1,4-DC."
terrestrial ecotoxicity,BEV,2024,energy storage,Small,0,2.4951331588209533,"kg 1,4-DC."
terrestrial ecotoxicity,BEV,2024,energy chain,Small,0,1.909700680556606e-06,"kg 1,4-DC."
terrestrial ecotoxicity,BEV,2024,maintenance,Small,0,2.9858379568618445e-06,"kg 1,4-DC."
terrestrial ecotoxicity,BEV,2024,EoL,Small,0,1.1465657741731483,"kg 1,4-DC."
terrestrial ecotoxicity,BEV,2024,road,Small,0,6.4186130103351136e-06,"kg 1,4-DC."
terrestrial ecotoxicity,BEV,2024,direct - non-exhaust,Small,0,2.6403286879800556e-05,"kg 1,4-DC."
terrestrial ecotoxicity,BEV,2024,direct - exhaust,Small,0,0.0,"kg 1,4-DC."
terrestrial ecotoxicity,ICEV-p,2024,glider,Small,0,2.0466322198653177,"kg 1,4-DC."
terrestrial ecotoxicity,ICEV-p,2024,powertrain,Small,0,0.4379830572938556,"kg 1,4-DC."
terrestrial ecotoxicity,ICEV-p,2024,energy storage,Small,0,0.01532638835970684,"kg 1,4-DC."
terrestrial ecotoxicity,ICEV-p,2024,energy chain,Small,0,5.9283566564284294e-06,"kg 1,4-DC."
terrestrial ecotoxicity,ICEV-p,2024,maintenance,Small,0,2.355104600623851e-06,"kg 1,4-DC."
terrestrial ecotoxicity,ICEV-p,2024,EoL,Small,0,1.0053421681497445,"kg 1,4-DC."
terrestrial ecotoxicity,ICEV-p,2024,road,Small,0,5.428726083021332e-06,"kg 1,4-DC."
terrestrial ecotoxicity,ICEV-p,2024,direct - non-exhaust,Small,0,3.243702420391581e-05,"kg 1,4-DC."
terrestrial ecotoxicity,ICEV-p,2024,direct - exhaust,Small,0,5.755407652021021e-07,"kg 1,4-DC."
metal depletion,BEV,2024,glider,Small,0,2386.3774843861065,kg Fe-Eq.
metal depletion,BEV,2024,powertrain,Small,0,1434.072539602698,kg Fe-Eq.
metal depletion,BEV,2024,energy storage,Small,0,6952.444546846532,kg Fe-Eq.
metal depletion,BEV,2024,energy chain,Small,0,0.0018570302038659352,kg Fe-Eq.
metal depletion,BEV,2024,maintenance,Small,0,0.0008361159337221161,kg Fe-Eq.
metal depletion,BEV,2024,EoL,Small,0,31.155139303759004,kg Fe-Eq.
metal depletion,BEV,2024,road,Small,0,0.0010504737611160913,kg Fe-Eq.
metal depletion,BEV,2024,direct - non-exhaust,Small,0,0.0,kg Fe-Eq.
metal depletion,BEV,2024,direct - exhaust,Small,0,0.0,kg Fe-Eq.
metal depletion,ICEV-p,2024,glider,Small,0,2158.5021574087896,kg Fe-Eq.
metal depletion,ICEV-p,2024,powertrain,Small,0,563.2403491081574,kg Fe-Eq.
metal depletion,ICEV-p,2024,energy storage,Small,0,39.63734673635645,kg Fe-Eq.
metal depletion,ICEV-p,2024,energy chain,Small,0,0.0005790164156646411,kg Fe-Eq.
metal depletion,ICEV-p,2024,maintenance,Small,0,0.0006594934188034288,kg Fe-Eq.
metal depletion,ICEV-p,2024,EoL,Small,0,4.029201815018091,kg Fe-Eq.
metal depletion,ICEV-p,2024,road,Small,0,0.0009065739269413626,kg Fe-Eq.
metal depletion,ICEV-p,2024,direct - non-exhaust,Small,0,0.0,kg Fe-Eq.
metal depletion,ICEV-p,2024,direct - exhaust,Small,0,0.0,kg Fe-Eq.
agricultural land occupation,BEV,2024,glider,Small,0,506.36590546100797,square meter-year
agricultural land occupation,BEV,2024,powertrain,Small,0,110.56071308887712,square meter-year
agricultural land occupation,BEV,2024,energy storage,Small,0,344.12308126887285,square meter-year
agricultural land occupation,BEV,2024,energy chain,Small,0,0.0028398819383234535,square meter-year
