person_id,driving
1176412,54828.24414
3428444,54786.83443
34430,54780.19147
2318550,54728.6032
1144105,54664.112
1341382,54639.2457
2776732,54563.31918
3994308,54526.65617
2423105,54505.43178
2350880,54493.11874
3998192,54451.9453
3395066,54394.41205
2381332,54390.28812
116759,54287.46342
1346262,54268.7276
2805019,54252.72683
4024258,54192.6741
1219010,54092.43493
522257,54072.57718
1982349,54061.18373
1983997,54050.08857
2415860,54041.1416
1337325,54030.51925
3071510,53895.63411
130111,53845.27624
2973223,53835.43901
2902710,53833.13423
3157352,53797.06726
1079824,53732.14943
169229,53702.25035
2369803,53691.10749
2337037,53662.80411
2373249,53594.22265
2862546,53585.21114
117377,53537.5361
1853065,53521.31025
54682,53499.84117
1289649,53499.29407
3618045,53495.26079
34429,53467.77693
1164761,53456.68181
3142912,53454.29998
4043131,53452.35742
2868032,53441.4183
874518,53439.94731
2376856,53415.98335
3613575,53414.41878
2782589,53381.87063
2363119,53367.48321
2781500,53314.54541
3188169,53254.18168
2403165,53222.7606
2726141,53210.68314
1886867,53186.37095
2731232,53158.79702
29251,53153.97599
2888574,53135.31295
2794843,53133.65642
1665740,53091.32153
1501466,53082.59576
1245803,53026.49443
1674862,53018.6415
1926969,52944.80727
3951915,52882.40657
1816008,52838.339
10278,52799.23205
2260224,52756.34658
1575130,52747.23642
4039680,52633.43728
2901655,52624.81587
1179211,52595.16027
1782180,52468.59946
2353995,52415.00022
2696851,52365.72101
2708355,52331.16059
2975668,52310.65755
2214442,52310.28974
2898210,52297.61762
2731872,52278.10595
1886209,52240.03419
2598008,52113.38816
2736603,52028.58364
3824541,51996.59863
970103,51865.3423
1227590,51767.39433
2677733,51761.07416
2333359,51755.63991
2869694,51729.08087
2695007,51726.14287
3070067,51706.35374
2877529,51705.00262
4020506,51683.55575
1197992,51632.67993
2881559,51563.5548
2722362,51562.9909
2724842,51515.61954
2734715,51492.10101
2355977,51429.29529
1220266,51424.90642
1241257,51371.71
2836704,51305.5768
3242338,51285.26916
3998302,51239.08042
2709896,51229.94291
2355268,51166.67499
2324697,51073.21426
11279,51071.64341
1238657,51043.5803
2352028,51031.4745
4042203,51011.42134
1558868,51004.23393
1810611,50992.69243
1822946,50990.56227
1882692,50984.44191
2959358,50979.77498
273593,50956.14356
1409809,50927.59929
1135448,50909.97896
2402606,50881.22131
23404,50762.33795
2394255,50754.65419
2902540,50744.7605
2877933,50694.47562
2366701,50643.96129
1875173,50642.59879
1365520,50632.68279
3970784,50618.09851
2348058,50582.79392
2399314,50582.21968
1598291,50543.80272
2399731,50500.91255
2721142,50481.06535
2549353,50405.07748
4003232,50395.84773
1374818,50367.05666
2326008,50346.53505
3453531,50344.86954
2388387,50324.49211
2970685,50264.16031
2362019,50257.90369
2877414,50251.12726
1244303,50203.52109
2939434,50142.6031
2889501,50114.65133
1216577,50029.50212
2210863,50026.60328
2800031,50021.01447
1995120,49991.68463
1419,49984.49282
57499,49941.57156
1259705,49939.97458
2383260,49934.47697
1343497,49859.66238
267240,49692.28623
200043,49652.42271
1884863,49626.24867
577,49600.6234
1700632,49584.87173
1230496,49582.20707
2866429,49570.07924
2873594,49563.46505
1974695,49534.22579
1149616,49519.25058
179179,49519.21152
1294963,49497.68747
1252715,49467.45824
1248031,49387.32043
2398306,49359.94253
1279694,49354.72924
1235604,49333.71017
2720219,49324.1035
2951206,49311.4269
2903349,49302.70683
969197,49230.64966
2240775,49209.63769
1164876,49175.57032
35707,49153.38205
3986335,49149.72369
3976576,49138.69048
2524,49132.27563
12792,48993.00634
2344420,48964.17174
2736768,48957.64647
1325690,48956.75903
987664,48945.67628
2888491,48910.7017
2800032,48899.99638
2353865,48840.76995
1167124,48829.24934
2197151,48826.65608
2700013,48816.95451
4038371,48799.03247
2400945,48723.23591
1365020,48676.21827
202199,48639.78894
509003,48639.07915
2902601,48631.80838
2033582,48620.82299
2947646,48582.79864
1179521,48568.85007
1121611,48542.79329
972030,48518.69526
1933211,48514.2928
1322828,48478.75691
2890728,48452.40063
1148312,48426.95148
343857,48426.35329
1134504,48380.07815
1947786,48370.17018
2374066,48357.22822
1882447,48348.64561
2642191,48341.11502
33478,48334.99895
658323,48321.00861
2365981,48293.0111
1244302,48255.31061
2733264,48254.05417
2958215,48241.02506
2261030,48235.3084
2349034,48210.43875
1678296,48210.14443
2695869,48201.54134
2863764,48148.72439
2875865,48141.66163
2868133,48136.98285
2895362,48041.75103
1794792,48035.31876
2005763,48000.20439
234936,47994.35801
1998551,47972.43859
12236,47925.25993
1236490,47914.22339
12304,47893.29204
842843,47861.52273
1365034,47859.21766
1124960,47843.07406
13204,47828.27799
2244720,47826.90102
1149614,47825.40393
8912,47811.28806
2964897,47780.99219
1218968,47776.64985
240249,47758.95758
4034521,47746.9418
7712,47728.12483
2362622,47677.99454
24810,47676.53282
3297500,47651.73323
2722856,47598.72373
816491,47578.87528
2870003,47552.92643
525999,47546.93267
2720970,47530.42963
1150669,47501.08231
537933,47474.03145
64843,47472.69939
